id,current_name,new_name,path,severity,issues,mime_type
1naNnm-2IuFGMV2nUV2uVVn_Or6zad2Xg,2024-08-15 – Top-10-plugins-traduction-wordpress-globaliser-site – Thumbnail Pinterest.jpg,2024-08-15 - Top-10-plugins-traduction-wordpress-globaliser-site - Thumbnail Pinterest.jpg,01_Projets/schoolsWP/04_ASSETS/02_Thumbnails/2024-08-15 – Top-10-plugins-traduction-wordpress-globaliser-site – Thumbnail Pinterest.jpg,low,long_dash,image/jpeg
1nhygrjjdAEM6_nfA-PIagb71aYzWuY7Y,2024-08-15 – Top-10-plugins-traduction-wordpress-site-multilingue – Thumbnail Pinterest.jpg,2024-08-15 - Top-10-plugins-traduction-wordpress-site-multilingue - Thumbnail Pinterest.jpg,01_Projets/schoolsWP/04_ASSETS/02_Thumbnails/2024-08-15 – Top-10-plugins-traduction-wordpress-site-multilingue – Thumbnail Pinterest.jpg,low,long_dash,image/jpeg
1pSNWQPoYWrEX2cxTQlmlG0stNylNo9px,2024-08-29 – Seokey-plugin-wordpress-seo-indispensable – Thumbnail Pinterest.jpg,2024-08-29 - Seokey-plugin-wordpress-seo-indispensable - Thumbnail Pinterest.jpg,01_Projets/schoolsWP/04_ASSETS/02_Thumbnails/2024-08-29 – Seokey-plugin-wordpress-seo-indispensable – Thumbnail Pinterest.jpg,low,long_dash,image/jpeg
1rWRV6W0b8NBfSzlvFdqATWqOdjF3PMef,2024-09-16 – Full-site-editing-fse-wordpress-maitrise-web-moderne – Thumbnail Pinterest.jpg,2024-09-16 - Full-site-editing-fse-wordpress-maitrise-web-moderne - Thumbnail Pinterest.jpg,01_Projets/schoolsWP/04_ASSETS/02_Thumbnails/2024-09-16 – Full-site-editing-fse-wordpress-maitrise-web-moderne – Thumbnail Pinterest.jpg,low,long_dash,image/jpeg
1rVwX51ESGnhoeoYaAR7BPW8PxfAAA9_1,2024-09-16 – Wordpress-full-site-editing-fse-personnalisez-sans-code – Thumbnail Pinterest.jpg,2024-09-16 - Wordpress-full-site-editing-fse-personnalisez-sans-code - Thumbnail Pinterest.jpg,01_Projets/schoolsWP/04_ASSETS/02_Thumbnails/2024-09-16 – Wordpress-full-site-editing-fse-personnalisez-sans-code – Thumbnail Pinterest.jpg,low,long_dash,image/jpeg
1w8FtVAPnhJEtx6fYdr42Ssct1MMYrqVG,2024-09-30 – SureMembers vs Restrict Content Pro   Quel plugin WordPress choisir en 2024 – Thumbnail Pinterest.jpg,2024-09-30 - SureMembers vs Restrict Content Pro Quel plugin WordPress choisir en 2024 - Thumbnail Pinterest.jpg,01_Projets/schoolsWP/04_ASSETS/02_Thumbnails/2024-09-30 – SureMembers vs Restrict Content Pro   Quel plugin WordPress choisir en 2024 – Thumbnail Pinterest.jpg,low,"double_spaces, long_dash",image/jpeg
11_GW7z2tIsZfCvQBS-lrWWVjSa54ikSL,2024-11-06 – Tastewp-creer-facilement-site-wordpress – Thumbnail Pinterest.jpg,2024-11-06 - Tastewp-creer-facilement-site-wordpress - Thumbnail Pinterest.jpg,01_Projets/schoolsWP/04_ASSETS/02_Thumbnails/2024-11-06 – Tastewp-creer-facilement-site-wordpress – Thumbnail Pinterest.jpg,low,long_dash,image/jpeg
18mD7IJQGDvuQeIzWE0Vwv-XMupx35K_Y,2024-11-20 – Optimiser-slugs-wordpress-seo – Thumbnail Pinterest.jpg,2024-11-20 - Optimiser-slugs-wordpress-seo - Thumbnail Pinterest.jpg,01_Projets/schoolsWP/04_ASSETS/02_Thumbnails/2024-11-20 – Optimiser-slugs-wordpress-seo – Thumbnail Pinterest.jpg,low,long_dash,image/jpeg
18g3gDHS8unTBBRzsSKaxeGAGKQyOH4IJ,2024-11-20 – Slug-wordpress-meilleurs-pratiques-seo – Thumbnail Pinterest.jpg,2024-11-20 - Slug-wordpress-meilleurs-pratiques-seo - Thumbnail Pinterest.jpg,01_Projets/schoolsWP/04_ASSETS/02_Thumbnails/2024-11-20 – Slug-wordpress-meilleurs-pratiques-seo – Thumbnail Pinterest.jpg,low,long_dash,image/jpeg
19tVFTlsfGtnm7ZASQLt6kC_mXjnotXP1,2024-11-24 – Link-finder-optimisation-strategie-netlinking – Thumbnail Pinterest.jpg,2024-11-24 - Link-finder-optimisation-strategie-netlinking - Thumbnail Pinterest.jpg,01_Projets/schoolsWP/04_ASSETS/02_Thumbnails/2024-11-24 – Link-finder-optimisation-strategie-netlinking – Thumbnail Pinterest.jpg,low,long_dash,image/jpeg
